"LBDB12.Code.or.Value","LBDB12.Value.Description","LBDB12.Count","LBDB12.Cumulative","LBDB12.Skip.to.Item"
"18 to 26801","Range of Values",5447,5447,NA
".","Missing",289,5736,NA
