"AUXLR217.Code.or.Value","AUXLR217.Value.Description","AUXLR217.Count","AUXLR217.Cumulative","AUXLR217.Skip.to.Item"
"-27 to 59","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
