"LBC118LA.Code.or.Value","LBC118LA.Value.Description","LBC118LA.Count","LBC118LA.Cumulative","LBC118LA.Skip.to.Item"
"0.7259 to 33.29","Range of Values",251,251,NA
".","Missing",0,251,NA
