"HCQ140E.Code.or.Value","HCQ140E.Value.Description","HCQ140E.Count","HCQ140E.Cumulative","HCQ140E.Skip.to.Item"
"1","Yes",5,5,NA
"2","No",2,7,NA
"7","Refused",0,7,NA
"9","Don't Know",1,8,NA
".","Missing",85,93,NA
