"BIXC014K.Code.or.Value","BIXC014K.Value.Description","BIXC014K.Count","BIXC014K.Cumulative","BIXC014K.Skip.to.Item"
"17.71 to 169.15","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
