"OSQ090a.Code.or.Value","OSQ090a.Value.Description","OSQ090a.Count","OSQ090a.Cumulative","OSQ090a.Skip.to.Item"
"1","Yes",981,981,"OSQ120a"
"2","No",323,1304,""
"7","Refused",0,1304,"OSQ120a"
"9","Don't know",3,1307,"OSQ120a"
".","Missing",4911,6218,""
