"AUXU3KR.Code.or.Value","AUXU3KR.Value.Description","AUXU3KR.Count","AUXU3KR.Cumulative","AUXU3KR.Skip.to.Item"
"-10 to 105","Range of Values",4298,4298,NA
"666","No response",1,4299,NA
"888","Could not obtain",27,4326,NA
".","Missing",256,4582,NA
