"URDMNMLC.Code.or.Value","URDMNMLC.Value.Description","URDMNMLC.Count","URDMNMLC.Cumulative","URDMNMLC.Skip.to.Item"
"0","At or above the detection limit",1497,1497,NA
"1","Below lower detection limit",1108,2605,NA
".","Missing",92,2697,NA
