"VTQ240B.Code.or.Value","VTQ240B.Value.Description","VTQ240B.Count","VTQ240B.Cumulative","VTQ240B.Skip.to.Item"
"1 to 72","Range of Values",715,715,NA
".","Missing",774,1489,NA
