"LBXV2C.Code.or.Value","LBXV2C.Value.Description","LBXV2C.Count","LBXV2C.Cumulative","LBXV2C.Skip.to.Item"
"0.0071 to 0.0071","Range of Values",3313,3313,NA
".","Missing",432,3745,NA
