"URXMZP.Code.or.Value","URXMZP.Value.Description","URXMZP.Count","URXMZP.Cumulative","URXMZP.Skip.to.Item"
"0.1527 to 16510.32","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
