"PAD645.Code.or.Value","PAD645.Value.Description","PAD645.Count","PAD645.Cumulative","PAD645.Skip.to.Item"
"10 to 1200","Range of Values",1769,1769,NA
"7777","Refused",0,1769,NA
"9999","Don't know",7,1776,NA
".","Missing",7479,9255,NA
