"LBXALD.Code.or.Value","LBXALD.Value.Description","LBXALD.Count","LBXALD.Cumulative","LBXALD.Skip.to.Item"
"0.019 to 0.054","Range of Values",2275,2275,NA
".","Missing",272,2547,NA
