"AUXR1K1L.Code.or.Value","AUXR1K1L.Value.Description","AUXR1K1L.Count","AUXR1K1L.Cumulative","AUXR1K1L.Skip.to.Item"
"15 to 90","Range of Values",23,23,NA
"666","No response",0,23,NA
"888","Could not obtain",0,23,NA
".","Missing",2345,2368,NA
