"RFXC140.Code.or.Value","RFXC140.Value.Description","RFXC140.Count","RFXC140.Cumulative","RFXC140.Skip.to.Item"
"-3.134 to 6.58","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
