"DXDLALE.Code.or.Value","DXDLALE.Value.Description","DXDLALE.Count","DXDLALE.Cumulative","DXDLALE.Skip.to.Item"
"485.2 to 7790.2","Range of Values",5348,5348,NA
".","Missing",685,6033,NA
