"RFXT057.Code.or.Value","RFXT057.Value.Description","RFXT057.Count","RFXT057.Cumulative","RFXT057.Skip.to.Item"
"486 to 495","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
