"BMXTRI.Code.or.Value","BMXTRI.Value.Description","BMXTRI.Count","BMXTRI.Cumulative","BMXTRI.Skip.to.Item"
"2.8 to 44.6","Range of Values",8586,8586,NA
".","Missing",1057,9643,NA
