"URXOP1.Code.or.Value","URXOP1.Value.Description","URXOP1.Count","URXOP1.Cumulative","URXOP1.Skip.to.Item"
"0.3323 to 394.41","Range of Values",2593,2593,NA
".","Missing",101,2694,NA
