"ALQ140Q.Code.or.Value","ALQ140Q.Value.Description","ALQ140Q.Count","ALQ140Q.Cumulative","ALQ140Q.Skip.to.Item"
"0 to 365","Range of Values",2976,2976,NA
"777","Refused",0,2976,NA
"999","Don't know",5,2981,NA
".","Missing",2046,5027,NA
