"DRD370AQ.Code.or.Value","DRD370AQ.Value.Description","DRD370AQ.Count","DRD370AQ.Cumulative","DRD370AQ.Skip.to.Item"
"1 to 20","Range of Values",841,841,NA
".","Missing",8921,9762,NA
