"PAXSSNHP.Code.or.Value","PAXSSNHP.Value.Description","PAXSSNHP.Count","PAXSSNHP.Cumulative","PAXSSNHP.Skip.to.Item"
"0 to 55324800","Range of Values",1307994,1307994,NA
".","Missing",0,1307994,NA
