"PFD069aU.Code.or.Value","PFD069aU.Value.Description","PFD069aU.Count","PFD069aU.Cumulative","PFD069aU.Skip.to.Item"
"1","Days",0,0,NA
"2","Weeks",2,2,NA
"3","Months",25,27,NA
"4","Year",636,663,NA
"7","Refused",0,663,NA
"9","Don't know",0,663,NA
".","Missing",8830,9493,NA
