"LBXMOPCT.Code.or.Value","LBXMOPCT.Value.Description","LBXMOPCT.Count","LBXMOPCT.Cumulative","LBXMOPCT.Skip.to.Item"
"1 to 33.3","Range of Values",8925,8925,NA
".","Missing",1004,9929,NA
