"DEQ038Q.Code.or.Value","DEQ038Q.Value.Description","DEQ038Q.Count","DEQ038Q.Cumulative","DEQ038Q.Skip.to.Item"
"1 to 15","Range of Values",1399,1399,NA
"20","20 or more times",9,1408,NA
"77777","Refused",0,1408,NA
"99999","Don't know",0,1408,NA
".","Missing",2520,3928,NA
