"OSQ120f.Code.or.Value","OSQ120f.Value.Description","OSQ120f.Count","OSQ120f.Cumulative","OSQ120f.Skip.to.Item"
"1","Yes",4,4,""
"2","No",1,5,"OSQ060"
"7","Refused",0,5,"OSQ060"
"9","Don't know",0,5,"OSQ060"
".","Missing",3810,3815,""
