"FFQ0059A.Code.or.Value","FFQ0059A.Value.Description","FFQ0059A.Count","FFQ0059A.Cumulative","FFQ0059A.Skip.to.Item"
1,"Almost never or never",433,433,NA
2,"About 1/4 of the time",377,810,NA
3,"About 1/2 of the time",423,1233,NA
4,"About 3/4 of the time",332,1565,NA
5,"Almost always or always",4170,5735,NA
88,"Blank",736,6471,NA
99,"Error",1,6472,NA
