"DR1IS100.Code.or.Value","DR1IS100.Value.Description","DR1IS100.Count","DR1IS100.Cumulative","DR1IS100.Skip.to.Item"
"0 to 6.658","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
