"LBDPFHPL.Code.or.Value","LBDPFHPL.Value.Description","LBDPFHPL.Count","LBDPFHPL.Cumulative","LBDPFHPL.Skip.to.Item"
"0","At or above the detection limit",159,159,NA
"1","Below lower detection limit",1941,2100,NA
".","Missing",194,2294,NA
