"LBDSTPSI.Code.or.Value","LBDSTPSI.Value.Description","LBDSTPSI.Count","LBDSTPSI.Cumulative","LBDSTPSI.Skip.to.Item"
"54 to 100","Range of Values",6489,6489,NA
".","Missing",501,6990,NA
