"LBDVD3LC.Code.or.Value","LBDVD3LC.Value.Description","LBDVD3LC.Count","LBDVD3LC.Cumulative","LBDVD3LC.Skip.to.Item"
"0","At or above the detection limit",6950,6950,NA
"1","Below lower detection limit",0,6950,NA
".","Missing",2357,9307,NA
