"DRD370K.Code.or.Value","DRD370K.Value.Description","DRD370K.Count","DRD370K.Cumulative","DRD370K.Skip.to.Item"
"1","Yes",144,144,""
"2","No",5280,5424,"DRD370L"
".","Missing",4338,9762,""
