"VIQ180.Code.or.Value","VIQ180.Value.Description","VIQ180.Count","VIQ180.Cumulative","VIQ180.Skip.to.Item"
"1","Yes",51,51,""
"2","No",6378,6429,"VIQ200"
"9","Don't know",9,6438,"VIQ200"
".","Missing",320,6758,""
