"DUQ230.Code.or.Value","DUQ230.Value.Description","DUQ230.Count","DUQ230.Cumulative","DUQ230.Skip.to.Item"
"1 to 30","Range of Values",389,389,NA
"77","Refused",2,391,NA
"99","Don't know",1,392,NA
".","Missing",4233,4625,NA
