"DR1DAY.Code.or.Value","DR1DAY.Value.Description","DR1DAY.Count","DR1DAY.Cumulative","DR1DAY.Skip.to.Item"
"1","Sunday",1477,1477,NA
"2","Monday",602,2079,NA
"3","Tuesday",814,2893,NA
"4","Wednesday",705,3598,NA
"5","Thursday",664,4262,NA
"6","Friday",2340,6602,NA
"7","Saturday",2014,8616,NA
".","Missing",928,9544,NA
