"DRDEXMER.Code.or.Value","DRDEXMER.Value.Description","DRDEXMER.Count","DRDEXMER.Cumulative","DRDEXMER.Skip.to.Item"
"13 to 84","Range of Values",9192,9192,NA
".","Missing",90,9282,NA
