"URDP06LC.Code.or.Value","URDP06LC.Value.Description","URDP06LC.Count","URDP06LC.Cumulative","URDP06LC.Skip.to.Item"
"0","At or above the detection limit",1902,1902,NA
"1","Below lower detection limit",18,1920,NA
".","Missing",727,2647,NA
