"DRD370HQ.Code.or.Value","DRD370HQ.Value.Description","DRD370HQ.Count","DRD370HQ.Cumulative","DRD370HQ.Skip.to.Item"
"1 to 7","Range of Values",30,30,NA
".","Missing",9613,9643,NA
