"LBXP1.Code.or.Value","LBXP1.Value.Description","LBXP1.Count","LBXP1.Cumulative","LBXP1.Skip.to.Item"
"0.1 to 202","Range of Values",1380,1380,NA
".","Missing",221,1601,NA
