"MPQ120ad.Code.or.Value","MPQ120ad.Value.Description","MPQ120ad.Count","MPQ120ad.Cumulative","MPQ120ad.Skip.to.Item"
"39","Hand - left",128,128,NA
".","Missing",5283,5411,NA
