"LBCPDELA.Code.or.Value","LBCPDELA.Value.Description","LBCPDELA.Count","LBCPDELA.Cumulative","LBCPDELA.Skip.to.Item"
"53.47 to 13200","Range of Values",247,247,NA
".","Missing",0,247,NA
