"DR1TWS.Code.or.Value","DR1TWS.Value.Description","DR1TWS.Count","DR1TWS.Cumulative","DR1TWS.Skip.to.Item"
"1","Community supply",5989,5989,NA
"2","Well or rain cistern",729,6718,NA
"3","Spring",99,6817,NA
"4","Don't drink tap water",2145,8962,NA
"91","Other",6,8968,NA
"99","Don't know",370,9338,NA
".","Missing",424,9762,NA
