"VTQ220.Code.or.Value","VTQ220.Value.Description","VTQ220.Count","VTQ220.Cumulative","VTQ220.Skip.to.Item"
"1","Yes",282,282,NA
"2","No",2277,2559,NA
"7","Refused",0,2559,NA
"9","Don't know",32,2591,NA
".","Missing",703,3294,NA
