"MCD093.Code.or.Value","MCD093.Value.Description","MCD093.Count","MCD093.Cumulative","MCD093.Skip.to.Item"
"1","Before 1972",217,217,NA
"2","1972 - 1991",259,476,NA
"3","1992 to present",199,675,NA
"7","Refused",0,675,NA
"9","Don't know",19,694,NA
".","Missing",8799,9493,NA
