"AUXU1K1R.Code.or.Value","AUXU1K1R.Value.Description","AUXU1K1R.Count","AUXU1K1R.Cumulative","AUXU1K1R.Skip.to.Item"
"-10 to 90","Range of Values",1678,1678,NA
"666","No response",0,1678,NA
"888","Could not obtain",0,1678,NA
".","Missing",129,1807,NA
