"LBXSCK.Code.or.Value","LBXSCK.Value.Description","LBXSCK.Count","LBXSCK.Cumulative","LBXSCK.Skip.to.Item"
"15 to 3892","Range of Values",5968,5968,NA
".","Missing",581,6549,NA
