"WTSPH16.Code.or.Value","WTSPH16.Value.Description","WTSPH16.Count","WTSPH16.Cumulative","WTSPH16.Skip.to.Item"
"0 to 771559.15812","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
