"DR1IFOLA.Code.or.Value","DR1IFOLA.Value.Description","DR1IFOLA.Count","DR1IFOLA.Cumulative","DR1IFOLA.Skip.to.Item"
"0 to 2204","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
