"MCQ240Y.Code.or.Value","MCQ240Y.Value.Description","MCQ240Y.Count","MCQ240Y.Cumulative","MCQ240Y.Skip.to.Item"
"30","30",1,1,NA
"80","80 years or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",9665,9666,NA
