"URDMIBLC.Code.or.Value","URDMIBLC.Value.Description","URDMIBLC.Count","URDMIBLC.Cumulative","URDMIBLC.Skip.to.Item"
"0","At or above the detection limit",2539,2539,NA
"1","Below lower detection limit",66,2605,NA
".","Missing",92,2697,NA
