"FFQ0013C.Code.or.Value","FFQ0013C.Value.Description","FFQ0013C.Count","FFQ0013C.Cumulative","FFQ0013C.Skip.to.Item"
1,"Almost never or never",788,788,NA
2,"About 1/4 of the time",722,1510,NA
3,"About 1/2 of the time",732,2242,NA
4,"About 3/4 of the time",477,2719,NA
5,"Almost always or always",1860,4579,NA
88,"Blank",1892,6471,NA
99,"Error",1,6472,NA
