"OSD110e.Code.or.Value","OSD110e.Value.Description","OSD110e.Count","OSD110e.Cumulative","OSD110e.Skip.to.Item"
"20 to 46","Range of Values",8,8,NA
"80","80 or older",0,8,NA
"777","Refused",0,8,NA
"999","Don't know",0,8,NA
".","Missing",5927,5935,NA
