"DMDHRMAR.Code.or.Value","DMDHRMAR.Value.Description","DMDHRMAR.Count","DMDHRMAR.Cumulative","DMDHRMAR.Skip.to.Item"
"1","Married",5766,5766,NA
"2","Widowed",755,6521,NA
"3","Divorced",967,7488,NA
"4","Separated",367,7855,NA
"5","Never married",1497,9352,NA
"6","Living with partner",436,9788,NA
"77","Refused",36,9824,NA
"99","Don't know",9,9833,NA
".","Missing",289,10122,NA
