"LBDCBCLC.Code.or.Value","LBDCBCLC.Value.Description","LBDCBCLC.Count","LBDCBCLC.Cumulative","LBDCBCLC.Skip.to.Item"
"0","At or above the detection limit",3063,3063,NA
"1","Below lower detection limit",3161,6224,NA
".","Missing",1211,7435,NA
