"WHD020.Code.or.Value","WHD020.Value.Description","WHD020.Count","WHD020.Cumulative","WHD020.Skip.to.Item"
"70 to 464","Range of Values",6074,6074,NA
"7777","Refused",10,6084,NA
"9999","Don't know",57,6141,NA
".","Missing",34,6175,NA
