"PAD630.Code.or.Value","PAD630.Value.Description","PAD630.Count","PAD630.Cumulative","PAD630.Skip.to.Item"
"10 to 840","Range of Values",2413,2413,NA
"7777","Refused",0,2413,NA
"9999","Don't know",13,2426,NA
".","Missing",3430,5856,NA
