"LBXPFDO.Code.or.Value","LBXPFDO.Value.Description","LBXPFDO.Count","LBXPFDO.Cumulative","LBXPFDO.Skip.to.Item"
"0.07 to 0.3","Range of Values",1993,1993,NA
".","Missing",177,2170,NA
