"CSQ180.Code.or.Value","CSQ180.Value.Description","CSQ180.Count","CSQ180.Cumulative","CSQ180.Skip.to.Item"
"1","Yes",48,48,NA
"2","No",1638,1686,NA
"7","Refused",0,1686,NA
"9","Don't know",0,1686,NA
".","Missing",2129,3815,NA
