"RXDDAYS.Code.or.Value","RXDDAYS.Value.Description","RXDDAYS.Count","RXDDAYS.Cumulative","RXDDAYS.Skip.to.Item"
"1 to 27010","Range of Values",14587,14587,NA
"77777","Refused",4,14591,NA
"99999","Don't know",224,14815,NA
".","Missing",6090,20905,NA
