"DXXLABMC.Code.or.Value","DXXLABMC.Value.Description","DXXLABMC.Count","DXXLABMC.Cumulative","DXXLABMC.Skip.to.Item"
"33.02 to 356.56","Range of Values",4682,4682,NA
".","Missing",1010,5692,NA
