"WHQ560.Code.or.Value","WHQ560.Value.Description","WHQ560.Count","WHQ560.Cumulative","WHQ560.Skip.to.Item"
"1","never,",507,507,NA
"2","sometimes, or",293,800,NA
"3","a lot?",51,851,NA
"7","Refused",0,851,NA
"9","Don't know",3,854,NA
".","Missing",975,1829,NA
