"DR2TM161.Code.or.Value","DR2TM161.Value.Description","DR2TM161.Count","DR2TM161.Cumulative","DR2TM161.Skip.to.Item"
"0 to 17.106","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
