"LBXCD4.Code.or.Value","LBXCD4.Value.Description","LBXCD4.Count","LBXCD4.Cumulative","LBXCD4.Skip.to.Item"
"166 to 1911","Range of Values",48,48,NA
".","Missing",2928,2976,NA
