"URXSIS.Code.or.Value","URXSIS.Value.Description","URXSIS.Count","URXSIS.Cumulative","URXSIS.Skip.to.Item"
"0.1768 to 1.05","Range of Values",2445,2445,NA
".","Missing",249,2694,NA
